FloatWMO,FileName
5901492,aoml/5901492
5902112,aoml/5902112
5903593,aoml/5903593
5903612,aoml/5903612
5903717,aoml/5903717
5903718,aoml/5903718
5904104,aoml/5904104
5904105,aoml/5904105
5904179,aoml/5904179
5904180,aoml/5904180
5904181,aoml/5904181
5904182,aoml/5904182
5904183,aoml/5904183
5904184,aoml/5904184
5904185,aoml/5904185
5904188,aoml/5904188
5904396,aoml/5904396
5904397,aoml/5904397
5904467,aoml/5904467
5904468,aoml/5904468
5904469,aoml/5904469
5904470,aoml/5904470
5904471,aoml/5904471
5904472,aoml/5904472
5904473,aoml/5904473
5904476,aoml/5904476
5904477,aoml/5904477
5904478,aoml/5904478
5904657,aoml/5904657
5904658,aoml/5904658
5904659,aoml/5904659
5904660,aoml/5904660
5904661,aoml/5904661
5904662,aoml/5904662
5904663,aoml/5904663
5904670,aoml/5904670
5904671,aoml/5904671
5904672,aoml/5904672
5904673,aoml/5904673
5904675,aoml/5904675
5904676,aoml/5904676
5904677,aoml/5904677
5904678,aoml/5904678
5904679,aoml/5904679
5904682,aoml/5904682
5904683,aoml/5904683
5904684,aoml/5904684
5904686,aoml/5904686
5904687,aoml/5904687
5904688,aoml/5904688
5904693,aoml/5904693
5904695,aoml/5904695
5904761,aoml/5904761
5904763,aoml/5904763
5904764,aoml/5904764
5904765,aoml/5904765
5904766,aoml/5904766
5904767,aoml/5904767
5904768,aoml/5904768
5904841,aoml/5904841
5904842,aoml/5904842
5904845,aoml/5904845
5904846,aoml/5904846
5904847,aoml/5904847
5904854,aoml/5904854
5904855,aoml/5904855
5904856,aoml/5904856
5904857,aoml/5904857
5904858,aoml/5904858
5904859,aoml/5904859
5904860,aoml/5904860
5904980,aoml/5904980
5904981,aoml/5904981
5904982,aoml/5904982
5904983,aoml/5904983
5904984,aoml/5904984
5905069,aoml/5905069
5905070,aoml/5905070
5905071,aoml/5905071
5905072,aoml/5905072
5905073,aoml/5905073
5905074,aoml/5905074
5905075,aoml/5905075
5905076,aoml/5905076
5905077,aoml/5905077
5905078,aoml/5905078
5905079,aoml/5905079
5905080,aoml/5905080
5905099,aoml/5905099
5905100,aoml/5905100
5905101,aoml/5905101
5905102,aoml/5905102
5905103,aoml/5905103
5905135,aoml/5905135
5905366,aoml/5905366
5905367,aoml/5905367
5905368,aoml/5905368
5905369,aoml/5905369
5905370,aoml/5905370
5905371,aoml/5905371
5905372,aoml/5905372
5905373,aoml/5905373
5905374,aoml/5905374
5905375,aoml/5905375
5905376,aoml/5905376
5905377,aoml/5905377
5905378,aoml/5905378
5905379,aoml/5905379
5905634,aoml/5905634
5905635,aoml/5905635
5905636,aoml/5905636
5905637,aoml/5905637
5905638,aoml/5905638
5905639,aoml/5905639
5905984,aoml/5905984
5905991,aoml/5905991
5905992,aoml/5905992
5905993,aoml/5905993
5905994,aoml/5905994
5905995,aoml/5905995
5905996,aoml/5905996
5905997,aoml/5905997
5905998,aoml/5905998
5906000,aoml/5906000
5906001,aoml/5906001
5906002,aoml/5906002
5906003,aoml/5906003
5906004,aoml/5906004
5906005,aoml/5906005
5906006,aoml/5906006
5906007,aoml/5906007
5906008,aoml/5906008
5906030,aoml/5906030
5906031,aoml/5906031
5906032,aoml/5906032
5906033,aoml/5906033
5906034,aoml/5906034
5906206,aoml/5906206
5906207,aoml/5906207
5906208,aoml/5906208
5906209,aoml/5906209
5906210,aoml/5906210
5906211,aoml/5906211
5906212,aoml/5906212
5906213,aoml/5906213
5906214,aoml/5906214
5906215,aoml/5906215
5906216,aoml/5906216
5906217,aoml/5906217
5906220,aoml/5906220
5906221,aoml/5906221
5906224,aoml/5906224
5906225,aoml/5906225
5906226,aoml/5906226
5906227,aoml/5906227
5906228,aoml/5906228
5906309,aoml/5906309
5906311,aoml/5906311
5906313,aoml/5906313
5906315,aoml/5906315
5906316,aoml/5906316
5906317,aoml/5906317
5906319,aoml/5906319
6901004,coriolis/6901004
6901580,coriolis/6901580
6901583,coriolis/6901583
6901689,coriolis/6901689
5905030,csiro/5905030
5905396,csiro/5905396
5905397,csiro/5905397
5906623,csiro/5906623
5906624,csiro/5906624
7900907,csiro/7900907
7900915,csiro/7900915
7900918,csiro/7900918
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,